Authors,Title,Publication year,Abstract,Keywords
"Antal B,Hajdu A",Improving microaneurysm detection in color fundus images by using context-aware approaches,2013,"In this paper, we present two approaches to improve microaneurysm detector ensembles. First, we provide an approach to select a set of preprocessing methods for a microaneurysm candidate extractor to enhance its detection performance in color fundus images. The performance of the candidate extractor with each preprocessing method is measured in six microaneurysm categories. The best performing preprocessing method for each category is selected and organized into an ensemble-based method. We tested our approach on the publicly available DiaretDB1 database, where the proposed approach led to an improvement regarding the individual approaches. Second, an adaptive weighting approach for microaneurysm detector ensembles is presented.The basis of the adaptive weighting approach is the spatial location and contrast of the detected microaneurysm. During training, the performance of ensemble members is measured with respect to these contextual information, which serves as a basis for the optimal weights assigned to the detectors. We have tested this approach on two publicly available datasets, where it showed its competitiveness compared without previously published ensemble-based approach for microaneurysm detection. Moreover, the proposed approach outperformed all the investigated individual detectors.","Microaneurysm detection, Retinal image processing, Ensemble learning, Context-aware weighting"
"Ahmed N,Ahammed R,Islam MM,Uddin MA,Akhter A,Talukder MA,Paul BK",Machine learning based diabetes prediction and development of smart web application,2021,"Diabetes is a very common disease affecting individuals worldwide. Diabetes increases the risk of long-term complications including heart disease, and kidney failure among others. People might live longer and lead healthier lives if this disease is detected early. Different supervised machine learning models trained with appropriate datasets can aid in diagnosing the diabetes at the primary stage. The goal of this work is to find effective machine-learning-based classifier models for detecting diabetes in individuals utilizing clinical data. The machine learning algorithms to be trained with several datasets in this article include Decision tree (DT), Naive Bayes (NB), k-nearest neighbor (KNN), Random Forest (RF), Gradient Boosting (GB), Logistic Regression (LR) and Support Vector Machine (SVM). We have applied efficient pre-processing techniques including label-encoding and normalization that improve the accuracy of the models. Further, using various feature selection approaches, we have identified and prioritized a number of risk factors. Extensive experiments have been conducted to analyze the performance of the model using two different datasets. Our model is compared with some recent study and the results show that the proposed model can provide better accuracy of 2.71% to 13.13% depending on the dataset and the adopted ML algorithm. Finally, a machine learning algorithm showing the highest accuracy is selected for further development. We integrate this model in a web application using python flask web development framework. The results of this study suggest that an appropriate preprocessing pipeline on clinical data and applying ML-based classification may predict diabetes accurately and efficiently.","Diabetes prediction, Machine learning, Flask, Accuracy, Random Forest (RF), Support Vector Machines (SVM), Logistic regression (LR), Gradient boosting (GB), k-nearest neighbor (k-NN)"
"Wang Y,Shan S",Accurate disease detection quantification of iris based retinal images using random implication image classifier technique,2021,"In a recent analysis, eye disease is complicated to predict the affected area by using fundus imaging. The eye disease like lesion, this lesion affected retinal image is due to unevenness illumination, contrast is low, and blurring image is analyzed, when this image is analysis not found the affected region of lesion affected retinal image in the conventional system. The conventional system is having some loss like accuracy less, and it takes more time to analyze the image, so the proposed technique is developed to diagnose eye retinal lesion disease to improve the image quality and increase the accuracy. The proposed Random Implication Image Classifier Technique (RIICT) method is developed in this system to classify the image in various color spaces can achieve excellent accuracy in different image analyzing. Preprocessing of the retinal image uses a median filter for noise removal and enhancement; this preprocessing process is covert the color image to grayscale image. In segmentation, the Discrete Image Clustering Technique (DICT) algorithms that are selected and arranged to produce seeds are used to separate the image foreground and background of the input image to find the affected region based on the similarity easily. The proposed Random Implication Image Classifier Technique (RIICT) algorithm is used to classifying the lesion results of this system. This proposed system detects the disease like cotton wool spot, lesion quickly, and classifies the development region in various iris images to handle in this system. Finally, the RIICT system is given a better accuracy result is 96.7%.","Random Implication Image Classifier Technique (RIICT), Discrete Image Clustering Technique (DICT), Median filter, Segmentation, Preprocessing"
"Arias-Garzón D,Alzate-Grisales JA,Orozco-Arias S,Arteaga-Arteaga HB,Bravo-Ortiz MA,Mora-Rubio A,Saborit-Torres JM,Serrano JÁ,de la Iglesia Vayá M,Cardona-Morales O,Tabares-Soto R",COVID-19 detection in X-ray images using convolutional neural networks,2021,"COVID-19 global pandemic affects health care and lifestyle worldwide, and its early detection is critical to control cases’ spreading and mortality. The actual leader diagnosis test is the Reverse transcription Polymerase chain reaction (RT-PCR), result times and cost of these tests are high, so other fast and accessible diagnostic tools are needed. Inspired by recent research that correlates the presence of COVID-19 to findings in Chest X-ray images, this papers’ approach uses existing deep learning models (VGG19 and U-Net) to process these images and classify them as positive or negative for COVID-19. The proposed system involves a preprocessing stage with lung segmentation, removing the surroundings which does not offer relevant information for the task and may produce biased results; after this initial stage comes the classification model trained under the transfer learning scheme; and finally, results analysis and interpretation via heat maps visualization. The best models achieved a detection accuracy of COVID-19 around 97%.","COVID-19, Deep learning, Transfer learning, X-ray, Segmentation"
"Sharma M,Singh G,Singh R",Stark Assessment of Lifestyle Based Human Disorders Using Data Mining Based Learning Techniques,2017,"Background: Medical informatics has observed an unrestrained growth in the database. Latest advancements in the field of medical sciences have wiped out lots of critical diseases. Nowadays, the medical industry is affluent in data sources. These data sources are of use only if these are effectively analyzed on time. Methods: Data mining techniques are artificially intelligent and used to investigate known and unknown patterns available in the medical databases. Nowadays, data mining techniques are chronically used to mine abundant data sources of medical science. This paper explores the practice of diverse data mining techniques, the role of dataset used, effect of preprocessing, and the performances of different data mining techniques in diagnosis of different lifestyle based diseases. The venture of this paper is to fetch out stark assessments of different data mining techniques used in medical sciences. Results: By far, surveillance discloses that significant effort has been made for mining the data allied to the Cardiology and Diabetes. As per Google Scholar, in last seven years, the percentage of articles published related to cardio, diabetes, digestive, dentistry and ophthalmology disease diagnosis using data mining are 42%, 26%, 18%, 10% and 4% respectively. So, a little attention has been paid to develop predictive model for the diseases viz. ophthalmology, dentistry and digestive disorders. In addition, the rate of usage of preprocessing in diagnosis of different disorders related to cardio, diabetes, digestive, dentistry and ophthalmology lies between 10.65%–17.75%, 8.48%–14.80%, 4.58–8.93%, 2.96%–7.73% and 5.83%–12.93% respectively. Conclusion: An attention is obligatory to develop smart diagnostic system to aware and save human masses from wide critical spectrum of diseases related to ophthalmology, oral and digestive systems.","Data mining, Lifestyle, Heart disease, Diabetes, Ophthalmology, Oral and digestive disorder"
"Fathi S,Ahmadi M,Birashk B,Dehnad A",Development and use of a clinical decision support system for the diagnosis of social anxiety disorder,2020,"Background Mental disorders, according to the definition of World Health Organization, consist of a wide range of signs, which are generally specified by a combination of unusual thoughts, feelings, behavior, and relationships with others. Social anxiety disorder (SAD) is one of the most prevalent mental disorders, described as permanent and severe fear or feeling of embarrassment in social situations. Considering the imprecise nature of SAD symptoms, the main objective of this study was to generate an intelligent decision support system for SAD diagnosis, using Adaptive neuro-fuzzy inference system (ANFIS) technique and to conduct an evaluation method, using sensitivity, specificity and accuracy metrics. Method In this study, a real-world dataset with the sample size of 214 was selected and used to generate the model. The method comprised a multi-stage procedure named preprocessing, classification, and evaluation. The preprocessing stage, itself, consists of three steps called normalization, feature selection, and anomaly detection, using the Self-Organizing Map (SOM) clustering method. The ANFIS technique with 5-fold cross-validation was used for the classification of social anxiety disorder. Results and conclusion The preprocessed dataset with seven input features were used to train the ANFIS model. The hybrid optimization learning algorithm and 41 epochs were used as optimal learning parameters. The accuracy, sensitivity, and specificity metrics were reported 98.67%, 97.14%, and 100%, respectively. The results revealed that the proposed model was quite appropriate for SAD diagnosis and in line with findings of other studies. Further research study addressing the design of a decision support system for diagnosing the severity of SAD is recommended.","Social anxiety disorder, Social phobia, Adaptive neuro-fuzzy inference system, Neuro-fuzzy, Artificial intelligence, Clinical decision support system"
"Nahato KB,Nehemiah KH,Kannan A",Hybrid approach using fuzzy sets and extreme learning machine for classifying clinical datasets,2016,"Data mining techniques play a major role in developing computer aided diagnosis systems and expert systems that will aid a physician in clinical decision making. In this work, a classifier that combines the relative merits of fuzzy sets and extreme learning machine (FELM) for clinical datasets is proposed. The three major subsystems in the FELM framework are preprocessing subsystem, fuzzification subsystem and classification subsystem. Missing value imputation and outlier elimination are handled by the preprocessing subsystem. The fuzzification subsystem maps each feature to a fuzzy set and the classification subsystem uses extreme learning machine for classification. Cleveland heart disease (CHD), Statlog heart disease (SHD) and Pima Indian diabetes (PID) datasets from the University of California Irvine (UCI) machine learning repository have been used for experimentation. The CHD and SHD datasets have been experimented with two class labels one indicating the absence and the other indicating the presence of heart disease. The CHD dataset has also been experimented with five class labels, one class label indicating the absence of heart disease and the other four class labels indicating the severity of heart disease namely low risk, medium risk, high risk and serious. The PID data set has been experimented with two class labels one indicating the absence and the other indicating the presence of gestational diabetes. The classifier has achieved an accuracy of 93.55% for CHD data set with two class labels; 73.77% for CHD data set with five class labels; 94.44% for SHD data set and 92.54% for PID dataset.","Extreme learning machine, Fuzzification, Fuzzy set, Classification, Euclidean distance, Membership function"
"Murugesan S,Tay DB,Cooke I,Faou P",Application of dual tree complex wavelet transform in tandem mass spectrometry,2015,"Mass Spectrometry (MS) is a widely used technique in molecular biology for high throughput identification and sequencing of peptides (and proteins). Tandem mass spectrometry (MS/MS) is a specialised mass spectrometry technique whereby the sequence of peptides can be determined. Preprocessing of the MS/MS data is indispensable before performing any statistical analysis on the data. In this work, preprocessing of MS/MS data is proposed based on the Dual Tree Complex Wavelet Transform (DTCWT) using almost symmetric Hilbert pair of wavelets. After the preprocessing step, the identification of peptides is done using the database search approach. The performance of the proposed preprocessing technique is evaluated by comparing its performance against Discrete Wavelet Transform (DWT) and Stationary Wavelet Transform (SWT). The preprocessing performed using DTCWT identified more peptides compared to DWT and SWT.","Tandem mass spectrometry, Proteomic data processing, Dual tree complex wavelet transform, Signal denoising, Peptides detection"
"Truda G,Marais P",Evaluating warfarin dosing models on multiple datasets with a novel software framework and evolutionary optimisation,2021,"Warfarin is an effective preventative treatment for arterial and venous thromboembolism, but requires individualised dosing due to its narrow therapeutic range and high individual variation. Many machine learning techniques have been demonstrated in this domain. This study evaluated the accuracy of the most promising algorithms on the International Warfarin Pharmacogenetics Consortium dataset and a novel clinical dataset of South African patients. Support vectors and linear regression were amongst the top performers in both datasets and performed comparably to recent stacked ensemble approaches, whilst neural networks were one of the worst performers in both datasets. We also introduced genetic programming to automatically optimise model architectures and hyperparameters without human guidance. Remarkably, the generated models were found to match the performance of the best models hand-crafted by human experts. Finally, we present a novel software framework (Warfit-learn) for warfarin dosing research. It leverages the most successful techniques in preprocessing, imputation, and parallel evaluation, with the goal of accelerating research and making results in this domain more reproducible.","Warfarin, Machine learning, Genetic programming, Python, Supervised learning, Anticoagulant, Pharmacogenetics, Software"
"Burattini L,Bini S,Burattini R",Automatic microvolt T-wave alternans identification in relation to ECG interferences surviving preprocessing,2011,"The aim was to investigate the effect of interferences surviving preprocessing (residual noise, baseline wanderings, respiration modulation, replaced beats, missed beats and T-waves misalignment) on automatic identification of T-wave alternans (TWA), an ECG index of risk for sudden cardiac death. The procedures denominated fast-Fourier-transform spectral method (FFTSM), complex-demodulation method (CDM), modified-moving-average method (MMAM), Laplacian-likelihood-ratio method (LLRM), and adaptive-match-filter method (AMFM) were applied to interferences-corrupted synthetic ECG tracings and Holter ECG recordings from control-healthy subjects (CH-group; n=25) and acute-myocardial-infarction patients (AMI group; n=25). The presence of interferences in simulated data caused detection of false-positive TWA by all techniques but the FFTSM and AMFM. Clinical applications evidenced a discrepancy in that the FFTSM and LLRM detected no more than one TWA case in each population, whereas the CDM, MMAM, and AMFM detected TWA in all CH-subjects and AMI-patients, with significantly lower TWA amplitude in the former group. Because the AMFM is not prone to false-positive TWA detections, the latter finding suggests TWA as a phenomenon having continuously changing amplitude from physiological to pathological conditions. Only occasional detection of TWA by the FFTSM and LLRM in clinics can be ascribed to their limited ability in identifying TWA in the presence of interferences surviving preprocessing.","T-wave alternans, Adaptive-match-filter method, Fast-Fourier-transform spectral method, Complex-demodulation method, Laplacian-likelihood-ratio method, Modified-moving-average method"
"Zhou L,Siddiqui T,Seliger SL,Blumenthal JB,Kang Y,Doerfler R,Fink JC",Text preprocessing for improving hypoglycemia detection from clinical notes – A case study of patients with diabetes,2019,"Background and objective Hypoglycemia is a common safety event when attempting to optimize glycemic control in diabetes (DM). While electronic medical records provide a natural ground for detecting and analyzing hypoglycemia, ICD codes used in the databases may be invalid, insensitive or non-specific in detecting new hypoglycemic events. We developed text preprocessing methods to improve automatic detection of hypoglycemia from analysis of clinical encounter text notes. Methods We set out to improve hypoglycemia detection from clinical notes by introducing three preprocessing methods: stop word filtering, medication signaling, and ICD narrative enrichment. To test the proposed methods, we selected clinical notes from VA Maryland Healthcare System, based on various combinations of three criteria that are suggestive of hypoglycemia, including ICD-9 code of diabetes and hypoglycemia, laboratory glucose values < 70 md/dL, and text reference to a proximate hypoglycemia event. In addition, we constructed one dataset of 395 clinical notes from year 2009 and another of 460 notes from year 2014 to test the generality of the proposed methods. For each of the datasets, two physician judges manually reviewed individual clinical notes to determine whether hypoglycemia was present or absent. A third physician judge served as a final adjudicator for disagreements. Results Each of the proposed preprocessing methods contributed to the performance of hypoglycemia detection by significantly increasing the F1 score in the range of 5.3?7.4% on one dataset (p < .01). Among the methods, stop word filtering contributed most to the performance improvement (7.4%). Combining all the preprocessing methods led to greater performance gain (p < .001) compared with using each method individually. Similar patterns were observed for the other dataset with the F1 score being increased in the range of 7.7%?9.4% by individual methods (p < .001). Nevertheless, combining the three methods did not yield additional performance gain. Conclusion The proposed text preprocessing methods improved the performance of hypoglycemia detection from clinical text notes. Stop word filtering achieved the most performance improvement. ICD narrative enrichment boosted the recall of detection. Combining the three preprocessing methods led to additional performance gains.","Hypoglycemia, Adverse safety events detection, Diabetes, Text preprocessing, Clinical notes"
"Nayantara PV,Kamath S,Manjunath KN,Rajagopal KV",Computer-aided diagnosis of liver lesions using CT images: A systematic review,2020,"Background Medical image processing has a strong footprint in radio diagnosis for the detection of diseases from the images. Several computer-aided systems were researched in the recent past to assist the radiologist in diagnosing liver diseases and reducing the interpretation time. The aim of this paper is to provide an overview of the state-of-the-art techniques in computer-assisted diagnosis systems to predict benign and malignant lesions using computed tomography images. Methods The research articles published between 1998 and 2020 obtained from various standard databases were considered for preparing the review. The research papers include both conventional as well as deep learning-based systems for liver lesion diagnosis. The paper initially discusses the various hepatic lesions that are identifiable on computed tomography images, then the computer-aided diagnosis systems and their workflow. The conventional and deep learning-based systems are presented in stages wherein the various methods used for preprocessing, liver and lesion segmentation, radiological feature extraction and classification are discussed. Conclusion The review suggests the scope for future, work as efficient and effective segmentation methods that work well with diverse images have not been developed. Furthermore, unsupervised and semi-supervised deep learning models were not investigated for liver disease diagnosis in the reviewed papers. Other areas to be explored include image fusion and inclusion of essential clinical features along with the radiological features for better classification accuracy.","Computer-aided detection/diagnosis, Liver diseases, Hemangioma, Hepatocellular carcinoma, Liver/lesion segmentation, Feature extraction, Classification, Deep learning"
Thuraisingham RA,Preprocessing RR interval time series for heart rate variability analysis and estimates of standard deviation of RR intervals,2006,"Heart rate variability is concerned with the analysis of the fluctuations in the interval between heart beats known as RR intervals. The long time RR time series obtained suffer from non-stationarity and the presence of ectopic beats, which prevents extraction of useful statistical information. The paper describes a wavelet-based technique for trend removal and a nonlinear filter to remove ectopic beats. This attempts to correct the limitations observed in a recent advanced heart rate toolkit [J. Niskanen, M.P. Tarvainen, P.O. Ranta-aho P.A. Karjalainen, Software for advanced HRV analysis, Comput. Meth. Prog. Biomed.,76 (2004) 73–81] when preprocessing. The results are encouraging. The preprocessed data are then used to obtain the standard deviation of RR interval time series (SDRR) of 15 healthy patients and 15 patients suffering from congestive heart failure. The results demonstrate the importance of preprocessing. The analysis show that the SDRR values of congestive heart failure patients are depressed compared to the healthy group.","Detrending, Artifact removal, Standard deviation of RR intervals"
